id,nombre,domicilio,telefono,email,web,tipo,calle,altura,direccion,Long,Lat
665,BOLIVAR,BOLIVAR 886,4361 5105,reservas@hotel-bolivar.com.ar,http://www.hotel-bolivar.com.ar/,Boutique,BOLIVAR,886,BOLIVAR 886,-58.373013,-34.618212
664,SANTA MARIA DE LA SALUD,PERU 1022,4307-9593,info@paradorbue.com,http://www.paradorbue.com/,Boutique,PERU,1022,PERU 1022,-58.374235,-34.619917
663,SPLENDID,BELGRANO AV. 2688,4943-0031,ventas@hotel-splendid.com.ar,http://www.hotel-splendid.com.ar/,Bed & Breakfast,BELGRANO ,2688,BELGRANO 2688,-58.403906,-34.614665
662,LA CASA DEL MÉDICO,BELGRANO AV. 1235,4383-8414,info@lacasadelmedico.com.ar,WWW.LACASADELMEDICO.COM.AR,Hotel sindical,AV. BELGRANO ,1235,AV. BELGRANO 1235,-58.383766,-34.613187
661,HOTEL 26 DE JULIO,HUMBERTO 1° 1712,4305-3030,hotel26dejulio@judiciales.org.ar,,Hotel sindical,HUMBERTO 1 ,1712,HUMBERTO 1 1712,-58.390315,-34.621526
660,OBRA SOCIAL DEL PERSONAL DE LA SANIDAD ARGENTINA,DEAN FUNES 1241,4943-0053,hotelesfattsa@sanidad.org.ar,,Hotel sindical,DEAN FUNES ,1241,DEAN FUNES 1241,-58.405771,-34.624972
659,OBRA SOCIAL DE LA ACTIVIDAD MINERA OSAM,ESTADOS UNIDOS 4037,4902-5983,obrasocial@aomaosam.org.ar,,Hotel sindical,EEUU ,4037,EEUU 4037,-58.422599,-34.623005
658,HOTEL TELEPOSTAL EVA PERON,RINCON 153,4951-6923,reservas@hotelpostal.com.ar,,Hotel sindical,RINCON,153,RINCON 153,-58.396239,-34.611212
576,THE DOWNTOWN MATE HOSTEL,RIVADAVIA AV. 1181,4381-0647,,http://www.downtownmate.com.ar/,Hostel,RIVADAVIA,1181,, ,
563,PETIT HOTEL SANTA ISABEL,"MITRE, BARTOLOME 1192,2º B",4381-8691,,,Hospedaje,BARTOLOME MITRE,1192,"MITRE, BARTOLOME 1192",-58.383365,-34.607458
523,HOTEL SEVILLA,SOLIS 138,,,,Hospedaje,SOLIS,138,SOLIS 138,-58.390339,-34.610676
666,NUVE, LELOIR 869,,nuveenvios@gmail.com,nuve.com,Cabañas,Leloir,869,,-58.5057954,-34.4650116
