periodo,long,lat,nro_registro,rubro,establecimiento,telefono,mail,facebook,web,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
201905,-58.434271,-34.597104,RL-2017-25630894- -DGCCO,Restaurante,1893,4773-2951,restaurante1893@hotmail.com,https://www.facebook.com/1893Pizzeria/,NO TIENE,"SCALABRINI ORTIZ, RAUL AV.",701,Villa Crespo,Comuna 15,1414,C1414DNH
201905,-58.372892,-34.597594,16/G/2015,Restaurante,AL CARBÓN,4312-5603/04,alcarbon@fibertel.com.ar,https://www.facebook.com/pages/Al-Carbon/213424022017448,NO TIENE,RECONQUISTA,875,Retiro,Comuna 1,1003,C1003ABQ
201905,-58.383569,-34.609120,RL-2017-04167920- -DGDYCOF,Restaurante,ALAMEDA RESTAURANTE,4381-2859,consultas@alameda-restaurante.com.ar,https://www.facebook.com/alamedarest/,www.alameda-restaurante.com.ar,DE MAYO AV.,1201,Monserrat,Comuna 1,1085,C1085ABC
201905,-58.371534,-34.611306,RL-2018-18305233- -DGCCO,Restaurante,ALDO'S RESTORAN VINOTECA,4343-0823,info@aldosvinoteca.com,https://www.facebook.com/AldosVinoteca/,www.aldosvinoteca.com,MORENO,372,Monserrat,Comuna 1,1091,C1091AAH
201905,-58.411435,-34.588835,RL-2017-26691981,Restaurante,ANASAGASTI,15-4412-2487,info@anasagasti.com.ar,https://www.facebook.com/anasagastibuenosaires/,http://www.anasagasti.com.ar/,ANASAGASTI,2067,Palermo,Comuna 14,1425,C1425DOA
201905,-58.484681,-34.576271,RL-2018-25706633--DGCCO,Restaurante,ANGUS,4524-5924,urquiza@angusparrilla.com.ar,https://www.facebook.com/AngusBrasas/,http://www.angusparrilla.com.ar/#/,AVALOS,2184,Villa Urquiza,Comuna 12,1431,C1431DPP
201905,-58.432747,-34.571170,RL-2018-30008795--DGCCO,Restaurante,ANGUS,4774-4709,baez@angusparrilla.com.ar,https://www.facebook.com/AngusBrasas/,http://www.angusparrilla.com.ar,BAEZ,444,Palermo,Comuna 14,1426,C1426BRJ
201905,-58.482322,-34.623137,RL-2017-22305599- -DGCCO,Heladería,ANTA HELADOS,4674-2222,heladeriaanta@gmail.com,https://www.facebook.com/AntaHelados/,NO TIENE,"JUSTO, JUAN B. AV.",6357,Villa Santa Rita,Comuna 11,1407,C1407FAB
201905,-58.370420,-34.619381,01/G/2015,Restaurante,ANTIGUA TASCA DE CUCHILLEROS,4300-5798,antiguatasca@hotmail.com,NO TIENE,www.antiguatasca.com.ar,"CALVO, CARLOS",319,San Telmo,Comuna 1,1102,C1102AAG
201905,-58.380169,-34.602432,01-G-2011,Restaurante,ASADOR CRIOLLO LA ESTANCIA,4326-0025,info@asadorlaestancia.com.ar,NO TIENE,www.asadorlaestancia.com.ar,LAVALLE,941,San Nicolas,Comuna 1,1047,C1047AAS
